,question_index,expert_score
0,0,2
1,2,5
2,3,8
3,4,5
4,5,7
5,7,4
6,8,10
7,9,7
8,10,10
9,12,8
10,13,10
11,15,8
12,16,4
13,17,4
14,18,8
15,19,8
16,21,15
17,22,8
18,24,3
19,26,15
20,27,10
21,28,6
22,32,12
23,33,7
24,34,12
25,35,10
26,36,8
27,37,6
28,39,14
29,41,7
30,42,5
31,43,5
32,44,8
33,45,10
34,46,9
35,48,9
36,49,10
37,50,7
38,51,7
39,52,7
40,53,2
41,54,8
42,55,10
43,56,10
44,57,8
45,59,2
46,60,3
47,62,7
48,64,8
49,66,10
50,67,7
51,68,8
52,69,7
53,71,3
54,72,6
55,73,9
56,74,5
57,75,10
58,76,10
59,77,5
60,78,3
61,79,9
62,82,2
63,84,8
64,87,5
65,88,10
66,89,10
67,90,8
68,92,10
69,94,9
70,95,4
71,97,9
72,100,0
73,101,3
74,102,5
75,103,5
76,104,5
77,106,4
78,107,5
79,108,5
80,109,3
81,110,5
82,111,4
83,113,5
84,115,5
85,116,5
86,117,5
87,118,5
88,119,5
89,122,9
90,123,14
91,124,14
92,127,15
93,128,14
94,130,9
95,131,15
96,132,15
97,133,15
98,134,13
99,135,10
100,137,14
101,138,15
102,139,15
103,142,8
104,143,10
105,144,9
106,145,5
107,146,2
108,147,10
109,148,8
110,149,9
111,150,7
112,151,8
113,152,8
114,153,9
115,154,5
116,155,10
117,157,4
118,158,4
119,159,7
120,160,9
121,161,6
122,162,10
123,163,8
124,164,9
125,165,8
126,166,8
127,167,10
128,168,8
129,169,9
130,170,10
131,171,8
132,172,9
133,173,8
134,175,10
135,176,6
136,177,8
137,179,6
138,181,5
139,182,5
140,183,5
141,185,4
142,186,5
143,187,3
144,189,5
145,190,5
146,192,4
147,193,5
148,194,5
149,195,5
150,196,5
151,197,1
152,198,5
153,199,5
154,200,8
155,201,6
156,202,8
157,203,8
158,204,8
159,205,8
160,206,8
161,207,8
162,208,8
163,209,6
164,210,6
165,211,7
166,213,10
167,214,10
168,215,8
169,216,8
170,217,6
171,218,10
172,219,10
173,220,8
174,221,8
175,222,5
176,223,6
177,224,10
178,225,8
179,226,8
180,227,8
181,228,4
182,229,8
183,230,10
184,231,4
185,232,10
186,233,10
187,234,3
188,235,8
189,236,10
190,237,8
191,238,10
192,239,10
193,240,7
194,241,9
195,242,6
196,243,6
197,244,7
198,245,9
199,246,9
200,247,8
201,248,2
202,249,6
203,250,4
204,251,1
205,252,8
206,253,8
207,254,9
208,255,9
209,256,9
210,257,9
211,258,3
212,259,9
213,260,10
214,262,10
215,263,10
216,265,10
217,266,10
218,267,8
219,268,8
220,269,10
221,270,10
222,271,4
223,272,4
224,274,8
225,275,10
226,276,10
227,277,10
228,278,7
229,279,7
230,280,10
231,281,10
232,282,10
233,283,10
234,284,10
235,285,10
236,286,10
237,289,10
238,290,10
239,291,10
240,292,10
241,293,10
242,295,10
243,296,10
244,297,10
245,298,5
246,299,5
247,300,10
248,302,10
249,303,10
250,304,10
251,305,0
252,306,10
253,307,10
254,308,10
255,309,10
256,310,10
257,311,10
258,312,10
259,313,10
260,314,10
261,315,8
262,316,8
263,317,6
264,318,10
265,319,6
266,320,10
267,321,10
268,322,10
269,323,10
270,325,10
271,326,10
272,327,10
273,328,10
274,329,10
275,330,10
276,331,10
277,332,10
278,333,10
279,334,10
280,335,10
281,336,10
282,337,10
283,338,10
284,339,10
285,341,10
286,342,10
287,343,6
288,344,9
289,345,9
290,346,6
291,347,8
292,348,10
293,350,10
294,351,9
295,353,6
296,354,10
297,355,10
298,356,6
299,357,10
